T,1,2,3,4,5,6
15Ü,6670.37,7380.67,8054.80,8496.92,8605.68,
15,5504.26,5902.04,6112.24,6858.84,7424.19,7640.58
14,5003.49,5365.66,5662.85,6112.24,6800.81,6998.52
13Ü,,4967.01,5220.71,6112.24,6800.81,6998.52
13,4629.74,4967.01,5220.71,5713.58,6394.91,6580.44
12,4193.48,4474.13,5068.49,5590.37,6264.45,6446.05
11,4064.54,4323.79,4619.10,5068.49,5720.84,5886.14
10,3928.42,4182.83,4474.13,4771.29,5336.70,5490.47
9b,3520.10,3765.38,3925.17,4366.72,4742.32,4878.28
9a,3520.10,3765.38,3818.66,3925.17,4366.72,4490.04
8,3319.52,3559.02,3692.14,3818.66,3958.47,4045.01
7,3135.83,3369.72,3545.69,3678.84,3785.37,3878.56
6,3086.57,3318.08,3447.20,3578.99,3665.52,3758.72
5,2973.97,3201.87,3330.99,3453.66,3552.34,3618.92
4,2849.24,3079.22,3240.61,3330.99,3421.39,3479.47
3,2815.57,3040.47,3105.03,3208.32,3292.25,3363.27
2Ü,2711.20,2930.72,3014.64,3117.96,3188.97,3285.81
2,2642.84,2853.24,2917.80,2982.36,3130.84,3285.81
1,,2434.49,2465.06,2501.78,2538.51,
